beneficiary_name,total_donated,num_programs,ida_exemptions,ida_projects,ida_names,esd_benefits,esd_programs,ppp_loans,ppp_forgiven,ppp_jobs,combined_govt_subsidy,subsidy_per_dollar_donated
CRYOMECH,200.0,3,1844622.7,8,Onondaga County Industrial Development Agency,1800000.0,Empire State Economic Development Fund; Excelsior Jobs Admission; Excelsior Jobs Program,1857278.0,1874629.56,138,5519252.26,27596.2613
AUSCO,320.8,3,363788.98,8,Babylon Industrial Development Agency,1200000.0,Excelsior Jobs Admission; Excelsior Jobs Program,3730883.0,3774562.99,194,5338351.970000001,16640.748036159603
NORTH ATLANTIC INDUSTRIES,11530.0,3,662245.22,5,Islip Industrial Development Agency,718374.0,Excelsior Jobs Admission; Excelsior Jobs Tax Credit,3872517.0,3917911.5,214,5298530.72,459.5429939288812
STAR KAY WHITE,13550.0,3,77480.0,3,Rockland County Industrial Development Agency,3229173.67,Empire Zone: ROCKLAND COUNTY; Excelsior Jobs Admission; Excelsior Jobs Tax Credit,1931567.0,1950185.16,140,5256838.83,387.9585852398524
KRIS TECH WIRE COMPANY,100.0,3,2840951.94,2,Oneida County Industrial Development Agency,896964.0,Excelsior Jobs Tax Credit; Excelsior Tax Credits,1347110.0,1364565.55,74,5102481.49,51024.814900000005
MCALPIN INDUSTRIES,1210.0,3,1502669.15,8,Wayne County Industrial Development Agency,1680501.0,Empire Zone: ROCHESTER; Excelsior Jobs Admission; Excelsior Jobs Program; LDC Grant (Monroe County Industrial Development Corporation),1820000.0,1832366.03,171,5015536.18,4145.071223140496
RES EXHIBIT SERVICES,14938.1,3,191402.0,2,Monroe Industrial Development Agency,2809542.1,Empire Zone: MONROE COUNTY; Empire Zone: ROCHESTER,1927400.0,1941261.44,110,4942205.54,330.84565908649694
BUCKINGHAM MANUFACTURING,2575.0,3,155835.39,7,Broome Industrial Development Agency,478000.0,Excelsior Jobs Program; Regional Council Capital Fund; Upstate Revitalization Initiative,4181225.95,4246980.02,363,4880815.409999999,1895.4622951456308
COMMUNITY COMPUTER SERVICE,5100.0,3,271305.34,7,Auburn Industrial Development Agency,1187110.51,Empire Zone: AUBURN,3339800.0,3382289.68,251,4840705.53,949.1579470588235
EASTMAN MACHINE COMPANY,25495.0,3,82139.33,4,Erie County Industrial Development Agency,630632.0,Empire Zone: BUFFALO; Excelsior Jobs Admission; Excelsior Jobs Program; Western New York Economic Development Fund,4086650.0,4125962.54,250,4838733.87,189.79148342812317
MAYER BROS APPLE PRODUCTS,3150.0,3,138888.29,12,Erie County Industrial Development Agency,1154254.0,Excelsior Jobs Admission; Excelsior Jobs Program; Excelsior Jobs Tax Credit,3245062.0,3289159.28,280,4582301.57,1454.698911111111
GREENBUSH ASSOCIATES,18521.0,3,495090.87,6,Rensselaer County Industrial Development Agency,3864558.0,Empire Zone: RENSSELAER COUNTY,63400.0,64046.33,7,4423695.2,238.84753523027916
USAI,5000.0,3,182896.36,8,Orange County Industrial Development Agency,1864249.0,Excelsior Jobs Admission; Excelsior Jobs Tax Credit; Regional Council Capital Fund,2323967.0,2350517.53,227,4397662.89,879.532578
INDUS HOTELS,500.0,3,59089.38,2,Allegany Industrial Development Agency; Cattaraugus Industrial Development Agency,2244371.0,Empire Zone: CATTARAUGUS; Empire Zone: FRIENDSHIP,2038010.0,2057319.91,722,4360780.29,8721.56058
ISKALO DEVELOPMENT,36165.0,3,1145573.65,22,Amherst Industrial Development Agency; Erie County Industrial Development Agency,1795080.0,Downtown Revitalization Initiative,1401670.0,1415764.38,271,4356418.029999999,120.4595058758468
