project_code,authority_name,applicant_name,school_district_name,project_city,date_approved,planned_end_year,school_revenue_lost,jobs_promised,jobs_current,job_shortfall,job_shortfall_pct,revenue_per_job,avg_salary_created,total_donated,is_nonprofit
5503-16-09A,New Rochelle Industrial Development Agency,RXR 587 Main Owner LLC,New Rochelle City School District,NEW ROCHELLE,09/21/2016,2037,832515.0,55,8,47,85.5,104064.38,40661.0,0.0,No
4702-18-10A,Brookhaven Industrial Development Agency,"Engel Burman at Mt. Sinai, LLC",Mount Sinai Union Free School District,MOUNT SINAI,11/14/2018,2032,832031.0,4,0,4,100.0,832031.0,50000.0,7000.0,No
5503-21-08A,New Rochelle Industrial Development Agency,28 South Division Owner LLC,New Rochelle City School District,NEW ROCHELLE,07/25/2018,2045,821330.0,55,0,55,100.0,821330.0,75000.0,0.0,No
55020102A,Mount Vernon Industrial Development Agency,GDC Properties LLC and Target,,MOUNT VERNON,08/13/2001,2031,813747.3300000001,400,2,398,99.5,406873.67,0.0,0.0,No
55020102A,Mount Vernon Industrial Development Agency,GDC Properties LLC and Target,,MOUNT VERNON,08/13/2001,2031,809834.0,400,2,398,99.5,404917.0,0.0,0.0,No
55020102A,Mount Vernon Industrial Development Agency,GDC Properties LLC and Target,,MOUNT VERNON,08/13/2001,2031,805595.0,400,2,398,99.5,402797.5,0.0,0.0,No
55020102A,Mount Vernon Industrial Development Agency,GDC Properties LLC and Target,,MOUNT VERNON,08/13/2001,2031,798650.0,400,2,398,99.5,399325.0,0.0,0.0,No
2803 06 11,Nassau County Industrial Development Agency,Southern Wines,,SYOSSET,08/09/2006,2018,794306.0999999999,43,0,43,100.0,794306.1,3366201.68,0.0,No
55020102A,Mount Vernon Industrial Development Agency,GDC Properties LLC and Target,,MOUNT VERNON,08/13/2001,2031,790902.4,400,2,398,99.5,395451.2,0.0,0.0,No
55020102A,Mount Vernon Industrial Development Agency,GDC Properties LLC and Target,,MOUNT VERNON,08/13/2001,2031,788077.0,400,2,398,99.5,394038.5,0.0,0.0,No
35011106,Oswego County Industrial Development Agency,"Sunoco, Inc.",Fulton City School District,FULTON,09/16/2010,2027,786148.0,69,0,69,100.0,786148.0,49000.0,25800.0,No
55020102A,Mount Vernon Industrial Development Agency,GDC Properties LLC and Target,,MOUNT VERNON,08/13/2001,2031,785311.0,400,2,398,99.5,392655.5,0.0,0.0,No
5503-18-06A,New Rochelle Industrial Development Agency,"""WBLM 14 Le Count Owner, LLC""",New Rochelle City School District,NEW ROCHELLE,06/27/2018,2051,774189.0,10,5,5,50.0,154837.8,54857.0,0.0,No
3501-9201A,Oswego County Industrial Development Agency,"Sithe Independence Power Partners, L.P.",,OSWEGO,11/01/2016,2030,756754.0,50,25,25,50.0,30270.16,0.0,0.0,No
5503-18-06A,New Rochelle Industrial Development Agency,"""WBLM 14 Le Count Owner, LLC""",New Rochelle City School District,NEW ROCHELLE,06/27/2018,2051,754653.0,10,5,5,50.0,150930.6,54857.0,0.0,No
