url	archive	verified_playback	retrieved
https://www.facebook.com/RepLangworthy/videos/1808436146970346/	https://web.archive.org/web/20260910183817/https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2FRepLangworthy%2Fvideos%2F1808436146970346%2F&show_text=true	200	2026-09-10
https://www.facebook.com/RepLangworthy/videos/1626742385702634/	https://web.archive.org/web/20260910183944/https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2FRepLangworthy%2Fvideos%2F1626742385702634%2F&show_text=true	200	2026-09-10
https://www.facebook.com/RepLangworthy/videos/1175599091659310/	https://web.archive.org/web/20260910184057/https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2FRepLangworthy%2Fvideos%2F1175599091659310%2F&show_text=true	200	2026-09-10
