url	archive	retrieved
https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=118179	https://web.archive.org/web/20260910184237/https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=118179	2026-09-10
https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=118060	https://web.archive.org/web/20260910184342/https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=118060	2026-09-10
https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=119082	https://web.archive.org/web/20260910184402/https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=119082	2026-09-10
https://oversight.house.gov/subcommittee/task-force-on-the-declassification-of-federal-secrets/	https://web.archive.org/web/20260907234318/https://oversight.house.gov/subcommittee/task-force-on-the-declassification-of-federal-secrets/	2026-09-10
https://oversight.house.gov/subcommittee/task-force-on-defending-constitutional-rights-and-exposing-institutional-abuses/	https://web.archive.org/web/20260910040452/https://oversight.house.gov/subcommittee/task-force-on-defending-constitutional-rights-and-exposing-institutional-abuses/	2026-09-10
https://clerk.house.gov/xml/lists/MemberData.xml	https://web.archive.org/web/20260910184452/https://clerk.house.gov/xml/lists/MemberData.xml	2026-09-10
https://clerk.house.gov/evs/2025/roll111.xml	https://web.archive.org/web/20260827003024/https://clerk.house.gov/evs/2025/roll111.xml	2026-09-10
https://www.govinfo.gov/content/pkg/CHRG-119hhrg60382/html/CHRG-119hhrg60382.htm	https://web.archive.org/web/20260910184751/https://www.govinfo.gov/content/pkg/CHRG-119hhrg60382/html/CHRG-119hhrg60382.htm	2026-09-10
https://docs.house.gov/meetings/GO/GO00/20250430/118179/CRPT-119-GO00-Vote027-20250430.pdf	(Wayback save returned no capture twice; sheet text retained in oversight-attendance-2026-09-10/oversight_vote_sheets_text.txt)	2026-09-10
